COD_REG,NOME_REG,SHAPE_Leng,SHAPE_Area,CITIZEN
1,Piemonte,1236869.3688,25394103941.6,4274945
2,Valle d'Aosta,311165.134877,3259040961.3,124089
3,Lombardia,1411265.07152,23862698613.6,9981554
4,Trentino,800534.132495,13608018378.5,1077078
5,Veneto,1057855.9676,18405499479.4,4869830
6,Friuli Venezia Giulia,667489.737062,7864293935.04,1201510
7,Liguria,834224.468035,5415464956.44,1518495
8,Emilia-Romagna,1164723.05925,22451465521.9,4438937
9,Toscana,1316658.00191,22984426772,3692865
10,Umbria,620315.169929,8464007915.76,865452
11,Marche,629209.047201,9401177971.95,1498236
12,Lazio,1055355.14651,17227617801.3,5730399
13,Abruzzo,614513.705789,10829102919.5,1281012
14,Molise,433874.677975,4461149496.36,294294
15,Campania,892379.131913,13663989800.1,5624260
16,Puglia,1176242.99348,19537077223,3933777
17,Basilicata,614219.205497,10073260222.6,545130
18,Calabria,838194.357734,15216683867.8,1860601
19,Sicilia,1339973.64188,25824775591.4,4833705
20,Sardegna,1460657.08082,24094165311.9,1590044
